Artist,Title,Url
Haven Of Rest Baptist Church,Up Above My Head,http://bap-tizum.com/sites/default/files/audio/Haven%20Of%20Rest%20Baptist%20Church_Up%20Above%20My%20Head_45.mp3
Lloyd Reese Singers,Ain't Gonna Run No More,http://bap-tizum.com/sites/default/files/audio/Lloyd%20Reese%20Singers_Ain't%20Gonna%20Run%20No%20More_45.mp3
The Hardeman Singers,All Day With Jesus,http://bap-tizum.com/sites/default/files/audio/The%20Hardeman%20Singers_All%20Day%20With%20Jesus_45.mp3
Reverend Cleophus Robinson And Coretha Bell And The Bethlehem Baptist Churh Choir,All My Help,http://bap-tizum.com/sites/default/files/audio/Reverend%20Cleophus%20Robinson%20And%20Coretha%20Bell%20And%20The%20Bethlehem%20Baptist%20Churh%20Choir_All%20My%20Help_45.mp3
Holy Propheteers,All My Troubles Will Be Over,http://bap-tizum.com/sites/default/files/audio/All_My_Troubles_Will_Be_Over.mp3
Converter Singers,All Over This Land,http://bap-tizum.com/sites/default/files/audio/Converter%20Singers_All%20Over%20This%20Land_45.mp3
Converter Singers,All Over This Land,http://bap-tizum.com/sites/default/files/audio/Converter%20Singers_All%20Over%20This%20Land_45_0.mp3
Rev. Milton Bronson and the Thompson Community Singers,All Power,http://bap-tizum.com/sites/default/files/audio/All_Power.mp3
The Harmonizing Four,All Things Are Possible,http://bap-tizum.com/sites/default/files/audio/The%20Harmonizing%20Four_All%20Things%20Are%20Possible_45.mp3
The Men's Chorus Of Ward A.M.E Church,All Things Are Possible,http://bap-tizum.com/sites/default/files/audio/The%20Men's%20Chorus%20Of%20Ward%20A.M.E%20Church_All%20Things%20Are%20Possible_45.mp3
Christland Singers,"All The Way, Lord","http://bap-tizum.com/sites/default/files/audio/Christland%20Singers_All%20The%20Way,%20Lord_45.mp3"
Christland Singers,"All The Way, Lord","http://bap-tizum.com/sites/default/files/audio/Christland%20Singers_All%20The%20Way,%20Lord_45_0.mp3"
Sister Pope and The Pearly Gates,Almighty God,http://bap-tizum.com/sites/default/files/audio/Almighty_God.mp3
The Consolers,Almighty God,http://bap-tizum.com/sites/default/files/audio/The%20Consolers_Almighty%20God_45.mp3
Ann And The Hearts Of Love Gospel Singers,Amace And Grace,http://bap-tizum.com/sites/default/files/audio/Ann%20And%20The%20Hearts%20Of%20Love%20Gospel%20Singers_Amace%20And%20Grace_45.mp3
Ann And The Hearts Of Love Gospel Singers,Amace And Grace,http://bap-tizum.com/sites/default/files/audio/Ann%20And%20The%20Hearts%20Of%20Love%20Gospel%20Singers_Amace%20And%20Grace_45_0.mp3
The Sons Of Christ,Amazing Grace,http://bap-tizum.com/sites/default/files/audio/The%20Sons%20Of%20Christ_Amazing%20Grace_45.mp3
The Rev. A. Carruthers,Amen,http://bap-tizum.com/sites/default/files/audio/The%20Rev.%20A.%20Carruthers_Amen_45.mp3
Rev. Drayton,By and By,http://bap-tizum.com/sites/default/files/audio/By_and_By.mp3
Bro. Will Hairston,Angels Watching Over Me,http://bap-tizum.com/sites/default/files/audio/Angels_Watching_Over_Me.mp3
The Consolers,Another Days Journey,http://bap-tizum.com/sites/default/files/audio/The%20Consolers_Another%20Days%20Journey_45.mp3
Sara Watson Ferguson,Appreciative Lord,http://bap-tizum.com/sites/default/files/audio/Sara%20Watson%20Ferguson_Appreciative%20Lord_45.mp3
The Bevins Specials,Are You Ready For The Program,http://bap-tizum.com/sites/default/files/audio/The%20Bevins%20Specials_Are%20You%20Ready%20For%20The%20Program_45.mp3
Willis Pittman,Ask God In Faith,http://bap-tizum.com/sites/default/files/audio/Willis%20Pittman_Ask%20God%20In%20Faith_45.mp3
Dixie Nightingales,Assassination,http://bap-tizum.com/sites/default/files/audio/Assassination.mp3
Rev. Jasper Williams Jr.,Back Stabbers,http://bap-tizum.com/sites/default/files/audio/Back_Stabbers.mp3
The Walterletts Gospel Singers,Bad Confusion,http://bap-tizum.com/sites/default/files/audio/The%20Walterletts%20Gospel%20Singers_Bad%20Confusion_45.mp3
